generationMode,timeToFirstTokenMs,totalGenerationMs,turnCount,guardrailViolations,storyTextLength,timestamp
hybrid,0.0,22383.154034614563,1,0,153,1776672350.99331
hybrid,0.0,12404.46400642395,2,0,211,1776672386.8800359
hybrid,0.0,45099.104046821594,3,0,229,1776672413.031321
hybrid,0.0,4041.043996810913,4,0,237,1776672440.792304
hybrid,0.0,6157.20796585083,5,0,234,1776672464.716047
hybrid,0.0,6054.543018341064,6,0,258,1776672493.41008
hybrid,0.0,5209.199905395508,7,0,296,1776672523.481116
hybrid,0.0,3087.260961532593,8,0,268,1776672554.23029
hybrid,0.0,5812.404036521912,9,0,275,1776672583.480188
hybrid,0.0,7246.70398235321,10,0,289,1776672611.814548
hybrid,0.0,10192.184925079346,1,0,127,1776672679.142118
hybrid,0.0,3939.9889707565308,2,0,248,1776672706.707457
hybrid,0.0,3527.539014816284,3,0,264,1776672732.932701
hybrid,0.0,12388.20207118988,1,0,118,1776672790.471259
hybrid,0.0,4404.307007789612,2,0,194,1776672811.401233
hybrid,0.0,2895.940065383911,3,0,263,1776672835.1304832
hybrid,0.0,13496.798038482666,1,0,179,1776672897.518066
hybrid,0.0,4759.874105453491,2,0,252,1776672924.3564382
hybrid,0.0,4610.430002212524,3,0,293,1776672954.627746
hybrid,0.0,4669.834017753601,4,0,300,1776672986.465826
hybrid,0.0,11502.669930458069,1,0,142,1776673049.0116482
hybrid,0.0,3956.1749696731567,2,0,241,1776673076.785441
hybrid,0.0,5480.507969856262,3,0,242,1776673101.212892
hybrid,0.0,3485.5350255966187,4,0,217,1776673129.449523
hybrid,0.0,4490.429043769836,5,0,218,1776673153.449235
hybrid,0.0,3757.5409412384033,6,0,238,1776673177.563024
hybrid,0.0,3932.2988986968994,7,0,250,1776673205.8128781
hybrid,0.0,4695.73700428009,8,0,272,1776673235.50041
hybrid,0.0,6649.451017379761,9,0,227,1776673261.658071
