turn,source,local_ms,cloud_ms,cloud_arrived,ending_by,timestamp
0,localGemma4,22383.2,,false,,1776672350.994513
1,localGemma4,12404.5,,false,,1776672386.8807359
2,cloud,6.9,45099.1,true,,1776672413.032267
3,cloud,10.7,4041.0,true,,1776672440.793048
4,cloud,7.0,6157.2,true,,1776672464.716814
5,cloud,6.4,6054.5,true,,1776672493.410841
6,cloud,5.0,5209.2,true,,1776672523.482067
7,cloud,6.7,3087.3,true,,1776672554.231359
8,cloud,5.3,5812.4,true,,1776672583.48106
9,cloud,11.7,7246.7,true,cloudLLM,1776672611.815412
0,localGemma4,10192.2,,false,,1776672679.143269
1,cloud,7.5,3940.0,true,,1776672706.708298
2,cloud,5.6,3527.5,true,,1776672732.933892
0,localGemma4,12388.2,,false,,1776672790.472199
1,cloud,10.4,4404.3,true,,1776672811.402442
2,cloud,8.9,2895.9,true,,1776672835.131586
0,localGemma4,13496.8,,false,,1776672897.519222
1,cloud,10.0,4759.9,true,,1776672924.357675
2,cloud,12.0,4610.4,true,,1776672954.628942
3,cloud,12.9,4669.8,true,,1776672986.467136
0,localGemma4,11502.7,,false,,1776673049.012982
1,cloud,7.6,3956.2,true,,1776673076.7868261
2,cloud,10.3,5480.5,true,,1776673101.214375
3,cloud,11.3,3485.5,true,,1776673129.451027
4,cloud,10.8,4490.4,true,,1776673153.451124
5,cloud,10.6,3757.5,true,,1776673177.5648499
6,cloud,11.4,3932.3,true,,1776673205.814878
7,cloud,10.2,4695.7,true,,1776673235.502631
8,cloud,10.0,6649.5,true,cloudLLM,1776673261.660039
