generationMode,timeToFirstTokenMs,totalGenerationMs,turnCount,guardrailViolations,storyTextLength,timestamp
cloud,0.0,1755.8879852294922,1,0,148,1776653117.582386
cloud,0.0,4649.9669551849365,1,0,205,1776653252.245785
cloud,0.0,3452.507972717285,2,0,210,1776653283.252674
cloud,0.0,4083.161950111389,3,0,266,1776653312.391681
cloud,0.0,2681.5810203552246,4,0,284,1776653344.7120628
cloud,0.0,2819.7489976882935,5,0,307,1776653380.087544
cloud,0.0,3268.082022666931,6,0,288,1776653413.891737
cloud,0.0,4877.501010894775,7,0,266,1776653449.950101
cloud,0.0,7480.58295249939,8,0,305,1776653485.725504
cloud,0.0,4985.320925712585,1,0,225,1776653533.379941
cloud,0.0,3087.584972381592,2,0,240,1776653564.027172
cloud,0.0,4049.906015396118,3,0,281,1776653594.440557
cloud,0.0,3953.018069267273,4,0,190,1776653629.7605429
cloud,0.0,2640.6219005584717,5,0,253,1776653657.5685601
cloud,0.0,5169.711947441101,6,0,237,1776653691.82077
cloud,0.0,3759.9889039993286,7,0,316,1776653722.130758
cloud,0.0,6018.911957740784,8,0,323,1776653760.2774692
cloud,0.0,4635.525941848755,1,0,260,1776653841.111764
cloud,0.0,6902.066111564636,2,0,226,1776653877.104393
cloud,0.0,2839.2258882522583,3,0,265,1776653909.4669418
cloud,0.0,4474.941968917847,4,0,262,1776653943.267699
cloud,0.0,4922.636032104492,1,0,230,1776654244.9318938
cloud,0.0,4460.139989852905,2,0,240,1776654277.113922
cloud,0.0,4959.456920623779,3,0,248,1776654310.341614
cloud,0.0,3203.2690048217773,4,0,265,1776654342.093697
