generationMode,timeToFirstTokenMs,totalGenerationMs,turnCount,guardrailViolations,storyTextLength,timestamp
onDevice,10781.875014305115,13626.818060874939,0,0,72,1776655559.9684892
onDevice,3527.4980068206787,6882.128000259399,1,0,95,1776655585.414181
onDevice,3231.688976287842,6670.0439453125,2,0,121,1776655605.041775
onDevice,4208.782076835632,7019.079089164734,3,0,107,1776655627.5171962
onDevice,4335.691928863525,7566.690921783447,0,0,107,1776655680.195116
onDevice,2573.817014694214,6203.1190395355225,1,0,131,1776655701.328721
onDevice,3255.064010620117,7347.710013389587,2,0,160,1776655724.441277
onDevice,4284.198999404907,6572.149991989136,0,0,77,1776655770.3370662
onDevice,3599.030017852783,8426.813006401062,1,0,143,1776655794.385699
onDevice,3795.930027961731,7259.407997131348,2,0,142,1776655822.0404658
onDevice,4488.126993179321,8136.134028434753,0,0,128,1776655850.507467
onDevice,2661.7130041122437,5366.539001464844,1,0,103,1776655870.890001
onDevice,3371.6620206832886,6568.518042564392,2,0,112,1776655892.35762
onDevice,4236.853003501892,6461.140990257263,0,0,74,1776655932.256639
onDevice,3642.2829627990723,6403.797030448914,1,0,120,1776655952.010168
onDevice,4235.3150844573975,6049.952030181885,2,0,44,1776655976.470831
onDevice,4775.7580280303955,6637.413024902344,3,0,51,1776655998.080709
onDevice,3650.3430604934692,4642.986059188843,4,0,42,1776656014.284632
