generationMode,facesDetected,facesBlurred,objectsDetected,tokensScrubbedFromTranscript,rawDataTransmitted,pipelineLatencyMs,faceDetectMs,blurMs,yoloMs,sceneClassifyMs,sttMs,piiScrubMs,timestamp
debug,0,0,4,0,false,457.2409391403198,154.9464225769043,103.29761505126953,30.323028564453125,0.0,0.0,0.0,798349690.35888
gemma4OnDevice,0,0,2,0,false,336.82000637054443,9.673833847045898,6.449222564697266,308.7809085845947,308.7809085845947,308.743953704834,0.0020265579223632812,798349693.864189
debug,0,0,4,0,false,189.48900699615479,52.95603275299072,35.30402183532715,35.28404235839844,0.0,0.0,0.0,798349897.327611
gemma4OnDevice,0,0,2,0,false,118.62003803253174,14.5127534866333,9.675168991088867,79.32901382446289,79.32901382446289,79.60796356201172,0.0020265579223632812,798349899.739656
debug,0,0,2,0,false,65.47999382019043,14.836835861206055,9.891223907470703,18.863916397094727,0.0,0.0,0.0,798350189.644355
gemma4OnDevice,0,0,1,0,false,79.9560546875,10.976386070251465,7.317590713500977,45.93002796173096,45.93002796173096,45.91095447540283,0.0010728836059570312,798350191.436469
debug,0,0,2,0,false,66.29109382629395,13.906216621398926,9.270811080932617,19.580960273742676,0.0,0.0,0.0,798350277.859049
gemma4OnDevice,0,0,1,0,false,58.267951011657715,8.098196983337402,5.398797988891602,38.21301460266113,38.21301460266113,38.19596767425537,0.0020265579223632812,798350281.01698
debug,0,0,6,0,false,61.64896488189697,11.12823486328125,7.4188232421875,16.397953033447266,0.0,0.0,0.0,798350395.866799
gemma4OnDevice,0,0,5,0,false,76.72202587127686,12.763166427612305,8.508777618408203,48.623085021972656,48.623085021972656,48.615097999572754,0.00095367431640625,798350404.079484
