generationMode,timeToFirstTokenMs,totalGenerationMs,turnCount,guardrailViolations,storyTextLength,timestamp
gemma4OnDevice,0.0,34516.43991470337,0,0,149,1776656928.9918408
gemma4OnDevice,0.0,14328.863024711609,1,0,185,1776656962.297416
gemma4OnDevice,0.0,13614.827036857605,2,0,166,1776656999.472364
gemma4OnDevice,0.0,12812.824010848999,3,0,171,1776657033.181629
gemma4OnDevice,0.0,11573.369026184082,4,0,133,1776657062.637176
gemma4OnDevice,0.0,15602.360010147095,0,0,188,1776657115.508457
gemma4OnDevice,0.0,13315.086007118225,1,0,209,1776657149.464356
gemma4OnDevice,0.0,15834.396958351135,2,0,264,1776657187.17698
gemma4OnDevice,0.0,12256.166100502014,3,0,173,1776657225.930417
gemma4OnDevice,0.0,23285.733103752136,4,0,486,1776657272.9638128
gemma4OnDevice,0.0,15787.119030952454,5,0,250,1776657329.479199
gemma4OnDevice,0.0,12954.700946807861,6,0,213,1776657368.795452
gemma4OnDevice,0.0,12846.615076065063,0,0,158,1776657404.3822389
gemma4OnDevice,0.0,13279.644012451172,1,0,200,1776657438.807355
gemma4OnDevice,0.0,10676.904082298279,0,0,123,1776657491.76841
gemma4OnDevice,0.0,12580.440044403076,1,0,192,1776657520.911117
gemma4OnDevice,0.0,14673.908948898315,2,0,230,1776657557.079648
gemma4OnDevice,0.0,10871.499061584473,0,0,113,1776657615.0441709
gemma4OnDevice,0.0,14750.277996063232,1,0,185,1776657646.418141
gemma4OnDevice,0.0,15248.04699420929,2,0,210,1776657682.682893
gemma4OnDevice,0.0,14514.676928520203,3,0,224,1776657717.7062721
gemma4OnDevice,0.0,14845.798015594482,4,0,210,1776657756.155915
gemma4OnDevice,0.0,10844.599962234497,5,0,119,1776657791.880522
gemma4OnDevice,0.0,9720.715999603271,6,0,88,1776657816.727345
